,SS3_MAF_Leo171129_p2_S14,SS3_MAF_Leo171129_p2_S21,SS3_MAF_Leo171129_p2_S25,SS3_MAF_Leo171129_p2_S32,SS3_MAF_Leo171129_p2_S37,SS3_MAF_Leo171129_p2_S43,SS3_MAF_Leo171129_p2_S44,SS3_MAF_Leo171129_p2_S45,SS3_MAF_Leo171129_p2_S4,SS3_MAF_Leo171129_p2_S61,SS3_MAF_Leo171129_p2_S67,SS3_MAF_Leo171129_p2_S75,SS3_MAF_Leo171129_p2_S76,SS3_MAF_Leo171129_p2_S81,SS3_MAF_Leo171129_p2_S83,SS3_MAF_Leo171129_p2_S87,SS3_MAF_leo180223_p6_A11_S11,SS3_MAF_leo180223_p6_C01_S25,SS3_MAF_leo180223_p6_A02_S2,SS3_MAF_leo180223_p6_A05_S5,SS3_MAF_leo180223_p6_C02_S26,SS3_MAF_leo180223_p6_C09_S33,SS3_MAF_leo180223_p6_D03_S39,SS3_MAF_leo180223_p6_D05_S41,SS3_MAF_leo180223_p6_C06_S30,SS3_MAF_leo180223_p6_D12_S48,SS3_MAF_leo180223_p6_E07_S55,SS3_MAF_leo180223_p6_E11_S59,SS3_MAF_leo180223_p6_F07_S67,SS3_MAF_leo180223_p6_G05_S77,SS3_MAF_leo180223_p6_F05_S65,SS3_MAF_leo180223_p6_G03_S75,SS3_MAF_leo180223_p6_G11_S83,SS3_MAF_leo180223_p6_H11_S95,SS3_MAF_leo180223_p4_S109,SS3_MAF_leo180223_p4_S113,SS3_MAF_leo180223_p6_E02_S50,SS3_MAF_leo180223_p4_S117,SS3_MAF_leo180223_p4_S126,SS3_MAF_leo180223_p4_S134,SS3_MAF_leo180223_p4_S97,SS3_MAF_leo180223_p4_S159,SS3_MAF_leo180223_p4_S173,SS3_MAF_leo180223_p4_S170,SS3_MAF_leo180223_p4_S180,SS3_MAF_leo180223_p4_S179,SS3_MAF_leo180223_p4_S181,SS3_MAF_leo180223_p4_S183,SS3_MAF_leo180223_p4_S186,SS3_MAF_leo180223_p4_S191,SS3_MAF_leo180223_p4_S188,SS3_MAF_leo180223_p4_S99,SS3_MAF_Leo171129_p2_S10,SS3_MAF_Leo171129_p2_S12,SS3_MAF_Leo171129_p2_S13,SS3_MAF_Leo171129_p2_S16,SS3_MAF_Leo171129_p2_S17,SS3_MAF_Leo171129_p2_S18,SS3_MAF_Leo171129_p2_S19,SS3_MAF_Leo171129_p2_S1,SS3_MAF_Leo171129_p2_S20,SS3_MAF_Leo171129_p2_S22,SS3_MAF_Leo171129_p2_S23,SS3_MAF_Leo171129_p2_S24,SS3_MAF_Leo171129_p2_S26,SS3_MAF_Leo171129_p2_S27,SS3_MAF_Leo171129_p2_S28,SS3_MAF_Leo171129_p2_S2,SS3_MAF_Leo171129_p2_S30,SS3_MAF_Leo171129_p2_S31,SS3_MAF_Leo171129_p2_S33,SS3_MAF_Leo171129_p2_S34,SS3_MAF_Leo171129_p2_S3,SS3_MAF_Leo171129_p2_S41,SS3_MAF_Leo171129_p2_S42,SS3_MAF_Leo171129_p2_S47,SS3_MAF_Leo171129_p2_S48,SS3_MAF_Leo171129_p2_S49,SS3_MAF_Leo171129_p2_S50,SS3_MAF_Leo171129_p2_S52,SS3_MAF_Leo171129_p2_S53,SS3_MAF_Leo171129_p2_S55,SS3_MAF_Leo171129_p2_S57,SS3_MAF_Leo171129_p2_S58,SS3_MAF_Leo171129_p2_S59,SS3_MAF_Leo171129_p2_S5,SS3_MAF_Leo171129_p2_S62,SS3_MAF_Leo171129_p2_S64,SS3_MAF_Leo171129_p2_S65,SS3_MAF_Leo171129_p2_S66,SS3_MAF_Leo171129_p2_S68,SS3_MAF_Leo171129_p2_S69,SS3_MAF_Leo171129_p2_S6,SS3_MAF_Leo171129_p2_S72,SS3_MAF_Leo171129_p2_S73,SS3_MAF_Leo171129_p2_S74,SS3_MAF_Leo171129_p2_S77,SS3_MAF_Leo171129_p2_S78,SS3_MAF_Leo171129_p2_S79,SS3_MAF_Leo171129_p2_S7,SS3_MAF_Leo171129_p2_S80,SS3_MAF_Leo171129_p2_S82,SS3_MAF_Leo171129_p2_S84,SS3_MAF_Leo171129_p2_S85,SS3_MAF_Leo171129_p2_S86,SS3_MAF_Leo171129_p2_S89,SS3_MAF_Leo171129_p2_S8,SS3_MAF_Leo171129_p2_S90,SS3_MAF_Leo171129_p2_S91,SS3_MAF_Leo171129_p2_S92,SS3_MAF_Leo171129_p2_S93,SS3_MAF_Leo171129_p2_S94,SS3_MAF_Leo171129_p2_S9,SS3_MAF_leo180223_p6_A10_S10,SS3_MAF_leo180223_p6_B01_S13,SS3_MAF_leo180223_p6_A03_S3,SS3_MAF_leo180223_p6_A09_S9,SS3_MAF_leo180223_p6_B05_S17,SS3_MAF_leo180223_p6_A01_S1,SS3_MAF_leo180223_p6_B02_S14,SS3_MAF_leo180223_p6_A07_S7,SS3_MAF_leo180223_p6_A04_S4,SS3_MAF_leo180223_p6_A12_S12,SS3_MAF_leo180223_p6_B04_S16,SS3_MAF_leo180223_p6_A06_S6,SS3_MAF_leo180223_p6_B03_S15,SS3_MAF_leo180223_p6_B10_S22,SS3_MAF_leo180223_p6_C04_S28,SS3_MAF_leo180223_p6_B09_S21,SS3_MAF_leo180223_p6_C05_S29,SS3_MAF_leo180223_p6_C11_S35,SS3_MAF_leo180223_p6_D01_S37,SS3_MAF_leo180223_p6_B11_S23,SS3_MAF_leo180223_p6_D09_S45,SS3_MAF_leo180223_p6_B07_S19,SS3_MAF_leo180223_p6_E01_S49,SS3_MAF_leo180223_p6_C10_S34,SS3_MAF_leo180223_p6_C12_S36,SS3_MAF_leo180223_p6_D07_S43,SS3_MAF_leo180223_p6_D04_S40,SS3_MAF_leo180223_p6_D02_S38,SS3_MAF_leo180223_p6_E10_S58,SS3_MAF_leo180223_p6_E05_S53,SS3_MAF_leo180223_p6_E03_S51,SS3_MAF_leo180223_p6_F03_S63,SS3_MAF_leo180223_p6_D06_S42,SS3_MAF_leo180223_p6_F10_S70,SS3_MAF_leo180223_p6_G01_S73,SS3_MAF_leo180223_p6_E06_S54,SS3_MAF_leo180223_p6_G07_S79,SS3_MAF_leo180223_p6_G09_S81,SS3_MAF_leo180223_p6_D08_S44,SS3_MAF_leo180223_p6_H07_S91,SS3_MAF_leo180223_p6_H09_S93,SS3_MAF_leo180223_p6_G06_S78,SS3_MAF_leo180223_p6_E12_S60,SS3_MAF_leo180223_p4_S101,SS3_MAF_leo180223_p4_S102,SS3_MAF_leo180223_p4_S104,SS3_MAF_leo180223_p4_S108,SS3_MAF_leo180223_p4_S105,SS3_MAF_leo180223_p4_S106,SS3_MAF_leo180223_p6_D10_S46,SS3_MAF_leo180223_p4_S107,SS3_MAF_leo180223_p6_F06_S66,SS3_MAF_leo180223_p6_E08_S56,SS3_MAF_leo180223_p6_H08_S92,SS3_MAF_leo180223_p6_H10_S94,SS3_MAF_leo180223_p6_G04_S76,SS3_MAF_leo180223_p4_S112,SS3_MAF_leo180223_p4_S111,SS3_MAF_leo180223_p4_S114,SS3_MAF_leo180223_p4_S115,SS3_MAF_leo180223_p4_S116,SS3_MAF_leo180223_p4_S118,SS3_MAF_leo180223_p4_S119,SS3_MAF_leo180223_p4_S123,SS3_MAF_leo180223_p4_S121,SS3_MAF_leo180223_p4_S122,SS3_MAF_leo180223_p4_S125,SS3_MAF_leo180223_p4_S127,SS3_MAF_leo180223_p4_S124,SS3_MAF_leo180223_p4_S129,SS3_MAF_leo180223_p4_S130,SS3_MAF_leo180223_p4_S131,SS3_MAF_leo180223_p4_S132,SS3_MAF_leo180223_p4_S133,SS3_MAF_leo180223_p4_S135,SS3_MAF_leo180223_p4_S139,SS3_MAF_leo180223_p4_S137,SS3_MAF_leo180223_p4_S138,SS3_MAF_leo180223_p4_S140,SS3_MAF_leo180223_p4_S142,SS3_MAF_leo180223_p4_S147,SS3_MAF_leo180223_p4_S146,SS3_MAF_leo180223_p4_S145,SS3_MAF_leo180223_p4_S148,SS3_MAF_leo180223_p4_S150,SS3_MAF_leo180223_p4_S149,SS3_MAF_leo180223_p4_S151,SS3_MAF_leo180223_p4_S153,SS3_MAF_leo180223_p4_S156,SS3_MAF_leo180223_p4_S154,SS3_MAF_leo180223_p4_S157,SS3_MAF_leo180223_p4_S158,SS3_MAF_leo180223_p4_S161,SS3_MAF_leo180223_p4_S160,SS3_MAF_leo180223_p4_S162,SS3_MAF_leo180223_p4_S164,SS3_MAF_leo180223_p4_S166,SS3_MAF_leo180223_p4_S167,SS3_MAF_leo180223_p4_S169,SS3_MAF_leo180223_p4_S165,SS3_MAF_leo180223_p4_S171,SS3_MAF_leo180223_p4_S177,SS3_MAF_leo180223_p4_S174,SS3_MAF_leo180223_p4_S176,SS3_MAF_leo180223_p4_S178,SS3_MAF_leo180223_p4_S182,SS3_MAF_leo180223_p4_S187,SS3_MAF_leo180223_p4_S185,SS3_MAF_leo180223_p4_S189,SS3_MAF_leo180223_p4_S190,SS3_MAF_leo180223_p4_S98
Kcnd1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Otud5,,0.0,,,0.0,2.0,0.0,,,0.0,,4.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,,2.0,,,0.0,,,0.0,,,,,0.0,,,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,8.0,,3.0,,,0.0,0.0,,0.0,1.0,0.0,,,0.0,,0.0,,1.0,,,0.0,0.0,0.0,,5.0,0.0,2.0,,,0.0,7.0,,0.0,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,0.0,,,,0.0,,0.0,,,,,,,,4.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,2.0,2.0,0.0,2.0,3.0,,,0.0,1.0,,0.0,,,0.0,0.0,0.0,,,,,0.0,,,0.0,0.0,0.0,,,0.0,1.0,0.0,,0.0,0.0,1.0,,0.0,0.0,,0.0,6.0,,0.0,0.0,,,0.0,0.0,5.0,,
Pim2,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,,0.0
Slc35a2,7.0,8.0,20.0,3.0,0.0,14.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,1.0,15.0,3.0,3.0,4.0,6.0,0.0,4.0,6.0,7.0,2.0,5.0,1.0,7.0,4.0,1.0,0.0,6.0,2.0,6.0,0.0,5.0,4.0,7.0,3.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,1.0,5.0,3.0,2.0,4.0,12.0,1.0,4.0,5.0,3.0,2.0,3.0,,10.0,4.0,10.0,1.0,6.0,5.0,3.0,0.0,2.0,0.0,3.0,8.0,7.0,3.0,,8.0,8.0,4.0,6.0,,9.0,2.0,6.0,7.0,6.0,7.0,2.0,7.0,1.0,15.0,,7.0,1.0,3.0,4.0,3.0,11.0,6.0,4.0,,5.0,16.0,5.0,0.0,,0.0,8.0,1.0,10.0,20.0,4.0,11.0,4.0,,6.0,,7.0,4.0,0.0,0.0,18.0,5.0,4.0,,10.0,1.0,4.0,5.0,,0.0,2.0,6.0,6.0,3.0,7.0,8.0,1.0,4.0,5.0,7.0,13.0,1.0,1.0,5.0,0.0,5.0,3.0,0.0,5.0,0.0,4.0,4.0,1.0,,0.0,,6.0,12.0,4.0,3.0,0.0,0.0,3.0,8.0,,9.0,5.0,2.0,3.0,4.0,0.0,4.0,1.0,3.0,6.0,3.0,7.0,6.0,1.0,5.0,6.0,10.0,2.0,2.0,3.0,3.0,4.0,7.0,0.0,,0.0,2.0,3.0,0.0,1.0,2.0,4.0,4.0,1.0,0.0,1.0,2.0,8.0,2.0,3.0,,2.0,5.0,3.0,4.0,4.0,1.0,4.0,2.0,3.0,5.0,4.0,3.0,1.0,6.0,5.0,0.0,5.0,13.0,8.0,1.0
Pqbp1,6.0,4.0,10.0,,,6.0,,10.0,2.0,3.0,4.0,5.0,5.0,,17.0,,,5.0,0.0,0.0,14.0,,6.0,1.0,4.0,0.0,7.0,1.0,0.0,0.0,5.0,,11.0,4.0,3.0,5.0,7.0,3.0,,1.0,1.0,4.0,2.0,14.0,,1.0,1.0,2.0,6.0,0.0,4.0,2.0,11.0,12.0,6.0,12.0,9.0,,4.0,,,1.0,2.0,1.0,1.0,0.0,,0.0,0.0,8.0,1.0,10.0,12.0,24.0,14.0,7.0,5.0,,,,7.0,23.0,7.0,10.0,3.0,0.0,0.0,4.0,6.0,5.0,,6.0,9.0,0.0,9.0,5.0,,6.0,1.0,7.0,3.0,0.0,0.0,1.0,,0.0,3.0,8.0,22.0,0.0,4.0,10.0,8.0,,,12.0,0.0,0.0,17.0,12.0,0.0,0.0,11.0,1.0,3.0,9.0,1.0,1.0,11.0,15.0,5.0,,3.0,4.0,0.0,6.0,,5.0,10.0,17.0,14.0,0.0,14.0,9.0,,0.0,,0.0,0.0,5.0,,,2.0,0.0,0.0,1.0,,3.0,0.0,0.0,11.0,6.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,5.0,3.0,6.0,6.0,,5.0,5.0,2.0,8.0,,3.0,12.0,8.0,0.0,1.0,4.0,3.0,4.0,,4.0,9.0,,0.0,0.0,0.0,3.0,9.0,0.0,4.0,9.0,6.0,6.0,12.0,3.0,,12.0,4.0,1.0,9.0,1.0,1.0,4.0,0.0,6.0,,5.0,0.0,3.0,7.0,2.0,,9.0,15.0,2.0
Timm17b,2.0,1.0,,5.0,0.0,1.0,9.0,3.0,0.0,2.0,4.0,,0.0,,4.0,2.0,1.0,2.0,11.0,0.0,13.0,5.0,1.0,1.0,5.0,1.0,9.0,5.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,3.0,,1.0,6.0,4.0,3.0,0.0,6.0,1.0,2.0,1.0,1.0,3.0,0.0,2.0,,2.0,0.0,10.0,5.0,8.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,1.0,,2.0,4.0,1.0,5.0,,0.0,1.0,5.0,10.0,5.0,2.0,1.0,,1.0,2.0,6.0,5.0,0.0,3.0,10.0,0.0,7.0,0.0,7.0,3.0,5.0,1.0,0.0,0.0,,1.0,,5.0,0.0,12.0,1.0,3.0,5.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,10.0,,5.0,4.0,1.0,7.0,2.0,1.0,0.0,3.0,8.0,1.0,9.0,3.0,4.0,0.0,0.0,1.0,4.0,4.0,8.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,,3.0,4.0,1.0,0.0,0.0,4.0,10.0,6.0,3.0,2.0,2.0,,1.0,2.0,1.0,1.0,2.0,8.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,4.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,1.0,0.0,2.0,,5.0,1.0,1.0,1.0,1.0,,1.0,3.0,3.0,3.0,1.0,3.0,2.0,1.0,4.0,1.0,1.0,9.0,2.0,1.0,2.0,1.0,5.0,0.0
Hdac6,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,,1.0,2.0,0.0,3.0,9.0,1.0,1.0,2.0,6.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,3.0,0.0,2.0,0.0,2.0,,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,4.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,6.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Suv39h1,1.0,4.0,2.0,,,1.0,,11.0,,,4.0,,,3.0,0.0,0.0,,5.0,3.0,,7.0,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,,,0.0,,0.0,0.0,3.0,6.0,0.0,1.0,0.0,,,,15.0,0.0,,3.0,0.0,2.0,2.0,0.0,11.0,,0.0,,,,0.0,0.0,18.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,1.0,,0.0,0.0,,0.0,0.0,8.0,0.0,1.0,,5.0,0.0,7.0,0.0,,,3.0,3.0,0.0,0.0,11.0,0.0,17.0,0.0,0.0,0.0,0.0,,8.0,4.0,0.0,,4.0,,,,5.0,10.0,,0.0,,,0.0,0.0,7.0,0.0,,,3.0,2.0,19.0,0.0,3.0,3.0,9.0,0.0,6.0,0.0,0.0,,2.0,4.0,4.0,,8.0,,0.0,7.0,6.0,0.0,8.0,4.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,,0.0,2.0,8.0,0.0,,1.0,0.0,0.0,10.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0,4.0,3.0,,0.0,0.0,0.0,,0.0,3.0,6.0,0.0,0.0,,4.0,0.0,7.0,0.0,0.0,3.0,0.0,1.0,12.0,2.0,9.0,0.0,1.0,3.0,,4.0,0.0,4.0,0.0,6.0,6.0,,0.0,9.0,0.0,,4.0,0.0,0.0,
Gm6787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wdr13,,1.0,2.0,0.0,0.0,,0.0,3.0,0.0,0.0,7.0,0.0,7.0,0.0,9.0,1.0,0.0,2.0,6.0,0.0,1.0,5.0,,2.0,7.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,3.0,2.0,0.0,1.0,2.0,1.0,,0.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,4.0,3.0,0.0,4.0,1.0,2.0,0.0,0.0,3.0,7.0,,0.0,0.0,2.0,0.0,,1.0,1.0,0.0,0.0,,0.0,1.0,5.0,1.0,3.0,4.0,1.0,6.0,0.0,4.0,2.0,0.0,2.0,7.0,,3.0,,0.0,,4.0,1.0,5.0,,,0.0,1.0,18.0,12.0,1.0,,2.0,1.0,0.0,0.0,0.0,0.0,5.0,8.0,,7.0,6.0,0.0,3.0,0.0,4.0,0.0,3.0,3.0,0.0,0.0,2.0,4.0,,5.0,2.0,2.0,2.0,4.0,,0.0,1.0,2.0,4.0,1.0,3.0,0.0,0.0,2.0,10.0,5.0,7.0,0.0,2.0,,0.0,0.0,,1.0,2.0,1.0,0.0,2.0,1.0,3.0,,2.0,1.0,3.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,5.0,3.0,5.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,,0.0,0.0,6.0,3.0,5.0,3.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,4.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,3.0,1.0,0.0,2.0,4.0,2.0,0.0,1.0,2.0,4.0,8.0,3.0,5.0,2.0,3.0,0.0,6.0,2.0,3.0,1.0
Rbm3,16.0,,,,,,,37.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,25.0,,,,,11.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,15.0,,,,,,0.0,,,,,,,,,,,,,,0.0,,14.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,11.0,,0.0,,,,,,0.0,,,,,,,,,,,9.0,,,,10.0,27.0,,,,25.0,,,,,,
Tbc1d25,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,,0.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
